date_adj,pres,sentiment
2017-01-08,Obama,-38
2017-01-08,Trump,-322
2017-01-09,Obama,-99
2017-01-09,Trump,-58
2017-01-10,Obama,14
2017-01-10,Trump,-56
2017-01-11,Obama,-173
2017-01-11,Trump,-390
2017-01-12,Obama,-73
2017-01-12,Trump,-86
2017-01-13,Obama,-117
2017-01-13,Trump,-22
2017-01-14,Obama,-303
2017-01-14,Trump,-115
2017-01-15,Obama,-89
2017-01-15,Trump,-240
2017-01-16,Obama,-71
2017-01-16,Trump,-43
2017-01-17,Obama,36
2017-01-17,Trump,-30
2017-01-18,Obama,8
2017-01-18,Trump,-227
2017-01-19,Obama,-69
2017-01-19,Trump,41
2017-01-20,Obama,-136
2017-01-20,Trump,-212
2017-01-21,Obama,23
2017-01-21,Trump,83
2017-01-22,Obama,75
2017-01-22,Trump,32
2017-01-23,Obama,-151
2017-01-23,Trump,1
2017-01-24,Obama,66
2017-01-24,Trump,-58
2017-01-25,Obama,-36
2017-01-25,Trump,-200
2017-01-26,Obama,-50
2017-01-26,Trump,-746
2017-01-27,Obama,-38
2017-01-27,Trump,-453
2017-01-28,Obama,-119
2017-01-28,Trump,-429
2017-01-29,Obama,48
2017-01-29,Trump,-1208
2017-01-30,Obama,19
2017-01-30,Trump,-1300
2017-01-31,Obama,-79
2017-01-31,Trump,-1641
2017-02-01,Obama,-136
2017-02-01,Trump,-919
2017-02-02,Obama,-8
2017-02-02,Trump,-813
2017-02-03,Obama,-45
2017-02-03,Trump,-744
2017-02-04,Obama,-43
2017-02-04,Trump,-712
2017-02-05,Obama,-44
2017-02-05,Trump,-1115
2017-02-06,Obama,-61
2017-02-06,Trump,-408
2017-02-07,Obama,-78
2017-02-07,Trump,-750
2017-02-08,Obama,-72
2017-02-08,Trump,-787
2017-02-09,Obama,-69
2017-02-09,Trump,-633
2017-02-10,Obama,-51
2017-02-10,Trump,-250
2017-02-11,Obama,-79
2017-02-11,Trump,-324
2017-02-12,Obama,-277
2017-02-12,Trump,-689
2017-02-13,Obama,-66
2017-02-13,Trump,-169
2017-02-14,Obama,35
2017-02-14,Trump,-510
2017-02-15,Obama,-45
2017-02-15,Trump,-429
2017-02-16,Obama,-77
2017-02-16,Trump,-329
2017-02-17,Obama,-21
2017-02-17,Trump,-306
2017-02-18,Obama,-61
2017-02-18,Trump,-115
2017-02-19,Obama,-79
2017-02-19,Trump,-255
2017-02-20,Obama,-72
2017-02-20,Trump,-281
2017-02-21,Obama,-128
2017-02-21,Trump,-403
2017-02-22,Obama,15
2017-02-22,Trump,-610
2017-02-23,Obama,-7
2017-02-23,Trump,-501
2017-02-24,Obama,-191
2017-02-24,Trump,-514
2017-02-25,Obama,-69
2017-02-25,Trump,-159
2017-02-26,Obama,-228
2017-02-26,Trump,-240
2017-02-27,Obama,-60
2017-02-27,Trump,-333
2017-02-28,Obama,-159
2017-02-28,Trump,-216
2017-03-01,Obama,-17
2017-03-01,Trump,-181
2017-03-02,Obama,-49
2017-03-02,Trump,-427
2017-03-03,Obama,0
2017-03-03,Trump,-165
2017-03-04,Obama,-361
2017-03-04,Trump,-270
2017-03-05,Obama,-58
2017-03-05,Trump,-279
2017-03-06,Obama,-21
2017-03-06,Trump,-304
2017-03-07,Obama,-27
2017-03-07,Trump,-446
2017-03-08,Obama,-62
2017-03-08,Trump,-136
2017-03-09,Obama,-5
2017-03-09,Trump,-243
2017-03-10,Obama,-25
2017-03-10,Trump,-264
2017-03-11,Obama,-59
2017-03-11,Trump,-266
2017-03-12,Obama,-3
2017-03-12,Trump,-299
2017-03-13,Obama,60
2017-03-13,Trump,-286
2017-03-14,Obama,-53
2017-03-14,Trump,-368
2017-03-15,Obama,-155
2017-03-15,Trump,-392
2017-03-16,Obama,-57
2017-03-16,Trump,-131
2017-03-17,Obama,-67
2017-03-17,Trump,-272
2017-03-18,Obama,-131
2017-03-18,Trump,-139
2017-03-19,Obama,-45
2017-03-19,Trump,-77
2017-03-20,Obama,-44
2017-03-20,Trump,-103
2017-03-21,Obama,3
2017-03-21,Trump,-388
2017-03-22,Obama,-23
2017-03-22,Trump,-341
2017-03-23,Obama,-250
2017-03-23,Trump,-335
2017-03-24,Obama,-58
2017-03-24,Trump,-162
2017-03-25,Obama,-166
2017-03-25,Trump,-9
2017-03-26,Obama,45
2017-03-26,Trump,-112
2017-03-27,Obama,-5
2017-03-27,Trump,-208
2017-03-28,Obama,-30
2017-03-28,Trump,-432
2017-03-29,Obama,-84
2017-03-29,Trump,-221
2017-03-30,Obama,7
2017-03-30,Trump,-81
2017-03-31,Obama,-124
2017-03-31,Trump,34
2017-04-01,Obama,-30
2017-04-01,Trump,-48
2017-04-02,Obama,-192
2017-04-02,Trump,-177
2017-04-03,Obama,70
2017-04-03,Trump,-19
2017-04-04,Obama,-189
2017-04-04,Trump,-115
2017-04-05,Obama,21
2017-04-05,Trump,-211
2017-04-06,Obama,-184
2017-04-06,Trump,-69
2017-04-07,Obama,-12
2017-04-07,Trump,-223
2017-04-08,Obama,-177
2017-04-08,Trump,-88
2017-04-09,Obama,-170
2017-04-09,Trump,-96
2017-04-10,Obama,112
2017-04-10,Trump,49
2017-04-11,Obama,-149
2017-04-11,Trump,-2
2017-04-12,Obama,220
2017-04-12,Trump,-202
2017-04-13,Obama,25
2017-04-13,Trump,-150
2017-04-14,Obama,-46
2017-04-14,Trump,-46
2017-04-15,Obama,-391
2017-04-15,Trump,-112
2017-04-16,Obama,-168
2017-04-16,Trump,-141
2017-04-17,Obama,38
2017-04-17,Trump,-41
2017-04-18,Obama,-5
2017-04-18,Trump,-63
2017-04-19,Obama,-22
2017-04-19,Trump,-296
2017-04-20,Obama,-104
2017-04-20,Trump,-194
2017-04-21,Obama,-27
2017-04-21,Trump,-228
2017-04-22,Obama,9
2017-04-22,Trump,-279
2017-04-23,Obama,-51
2017-04-23,Trump,-346
2017-04-24,Obama,-15
2017-04-24,Trump,-167
2017-04-25,Obama,-60
2017-04-25,Trump,-138
2017-04-26,Obama,-23
2017-04-26,Trump,-194
2017-04-27,Obama,-51
2017-04-27,Trump,-118
2017-04-28,Obama,-175
2017-04-28,Trump,-300
2017-04-29,Obama,-165
2017-04-29,Trump,-167
2017-04-30,Obama,-232
2017-04-30,Trump,-334
2017-05-01,Obama,-78
2017-05-01,Trump,-82
2017-05-02,Obama,-188
2017-05-02,Trump,-128
2017-05-03,Obama,-53
2017-05-03,Trump,-120
